City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,mecca,21.4267,39.8261,26.99,44,44,5.7,SA,1667491372
262,laredo,27.5064,-99.5075,24.16,88,100,3.6,US,1667491598
263,voh,-20.9667,164.7,22.64,82,1,1.32,NC,1667491394
264,worthington,40.0931,-83.018,19.48,80,100,0.0,US,1667491633
265,safranbolu,41.2508,32.6942,11.49,88,75,1.58,TR,1667491656
266,atar,20.5169,-13.0499,34.18,6,0,5.54,MR,1667491581
267,risor,58.7206,9.2342,10.74,95,100,9.03,NO,1667491657
268,grand gaube,-20.0064,57.6608,24.1,71,15,2.24,MU,1667491657
269,san policarpo,12.1791,125.5072,27.82,82,85,4.02,PH,1667491658
270,buchanan,5.8808,-10.0467,27.48,77,97,1.93,LR,1667491659
271,boppard,50.2308,7.5899,12.44,83,100,3.33,DE,1667491659
272,laguna,38.421,-121.4238,8.34,86,0,3.6,US,1667491577
273,augusta,48.3667,10.8833,12.96,90,0,1.03,DE,1667491659
274,bengkulu,-3.8004,102.2655,25.13,87,100,3.04,ID,1667491660
275,isangel,-19.55,169.2667,24.41,87,8,2.96,VU,1667491660
276,pontianak,-0.0333,109.3333,25.99,88,75,1.54,ID,1667491660
277,moose factory,51.2585,-80.6094,13.4,66,100,6.25,CA,1667491661
278,lishu,43.3047,124.3278,-5.01,39,0,2.84,CN,1667491661
279,havelock,34.8791,-76.9013,21.99,87,100,4.63,US,1667491614
280,wau,7.7029,27.9953,28.72,34,45,1.3,SS,1667491661
281,itarema,-2.9248,-39.9167,31.2,57,39,7.88,BR,1667491662
282,mandera,3.9366,41.867,32.27,37,92,2.5,KE,1667491503
283,aykhal,66.0,111.5,-19.61,91,64,4.32,RU,1667491662
284,cayhagan,9.6697,122.4256,26.01,85,86,2.3,PH,1667491662
285,pochutla,15.7432,-96.4661,27.9,63,52,1.25,MX,1667491663
286,sao joao do piaui,-8.3581,-42.2467,33.69,41,98,1.1,BR,1667491663
287,cape canaveral,28.4058,-80.6048,29.48,71,0,6.17,US,1667491664
288,henties bay,-22.116,14.2845,16.62,74,58,4.58,NA,1667491664
289,pangnirtung,66.1451,-65.7125,-9.58,92,100,4.87,CA,1667491664
290,kayerkan,69.3497,87.7602,-10.26,91,100,10.2,RU,1667491664
291,sola,-13.8833,167.55,26.34,73,10,1.79,VU,1667491665
292,lazaro cardenas,17.9583,-102.2,27.95,74,27,1.0,MX,1667491665
293,arauca,7.0847,-70.7591,24.46,75,100,4.05,CO,1667491665
294,inverell,-29.7833,151.1167,9.26,90,19,1.93,AU,1667491666
295,burnie,-41.0667,145.9167,9.41,73,2,4.1,AU,1667491666
296,hambantota,6.1241,81.1185,25.19,100,40,0.51,LK,1667491666
297,presidente medici,-11.1753,-61.9014,27.6,28,9,3.36,BR,1667491667
298,ulaanbaatar,47.9077,106.8832,-17.93,78,0,2.0,MN,1667491667
299,taitung,22.7583,121.1444,25.44,86,18,2.89,TW,1667491667
300,ereymentau,51.6199,73.1033,3.21,58,89,6.23,KZ,1667491668
301,baruun-urt,46.6806,113.2792,-6.25,62,0,3.77,MN,1667491668
302,kropotkin,45.4375,40.5756,9.4,70,99,1.27,RU,1667491668
303,saint-francois,46.4154,3.9054,12.69,94,100,2.06,FR,1667491669
